Declaracion,NombreDeclarante,ApellidoPaternoDeclarante,ApellidoMaternoDeclarante,CantidadQueRepresenta,EntidadQueEmite,FechaAdquisicion,PaisQueEmite,TipoValor,TipoGravamen,ValorPlaza
http://datos.cplt.cl/datos/infoprobidad/declaracion_92a0e7a415d64ebafcb16a8ca817cde4,FERNANDO ROBERTO,ORTIZ,ALVARADO,704528,BANCO FALABELLA,07/10/2016,CHILE,DEPÃ“SITOS A PLAZO,NINGUNO ,704528
http://datos.cplt.cl/datos/infoprobidad/declaracion_9407c826d8e3c07ad37cb2d13d1cb641,JORGE HUMBERTO,MEDINA,CUEVAS,15364,FONDOS MUTUOS SANTANDER SANTIAGO,04/01/2016,CHILE,CUOTAS DE FONDOS MUTUOS,NINGUNO ,18566552
http://datos.cplt.cl/datos/infoprobidad/declaracion_9407c826d8e3c07ad37cb2d13d1cb641,JORGE HUMBERTO,MEDINA,CUEVAS,1310,CENCOSUD,16/12/2010,CHILE,OPCIONES A LA COMPRA Y VENTA DE ACCIONES,NINGUNO ,2638340
http://datos.cplt.cl/datos/infoprobidad/declaracion_9407c826d8e3c07ad37cb2d13d1cb641,JORGE HUMBERTO,MEDINA,CUEVAS,97693,FONDOS MUTUOS SANTANDER SANTIAGO,04/01/2016,CHILE,OPCIONES A LA COMPRA Y VENTA DE ACCIONES,NINGUNO ,112850013
http://datos.cplt.cl/datos/infoprobidad/declaracion_84b20b1f5a0d103f5710bb67a043cd78,FRANCISCO JAVIER,ALSINA,URZÃšA,69093424,BANCHILE,19/03/2008,CHILE,CUOTAS DE FONDOS MUTUOS,NINGUNO ,69093428
http://datos.cplt.cl/datos/infoprobidad/declaracion_9407c826d8e3c07ad37cb2d13d1cb641,JORGE HUMBERTO,MEDINA,CUEVAS,28500,COLBUN,19/03/2015,CHILE,OPCIONES A LA COMPRA Y VENTA DE ACCIONES,NINGUNO ,3899655
http://datos.cplt.cl/datos/infoprobidad/declaracion_9407c826d8e3c07ad37cb2d13d1cb641,JORGE HUMBERTO,MEDINA,CUEVAS,565,CENCOSUD,16/12/2010,CHILE,OPCIONES A LA COMPRA Y VENTA DE ACCIONES,NINGUNO ,1137910
http://datos.cplt.cl/datos/infoprobidad/declaracion_92a0e7a415d64ebafcb16a8ca817cde4,FERNANDO ROBERTO,ORTIZ,ALVARADO,10531853,BANCO FALABELLA,12/08/2016,CHILE,DEPÃ“SITOS A PLAZO,NINGUNO ,10531853
http://datos.cplt.cl/datos/infoprobidad/declaracion_9407c826d8e3c07ad37cb2d13d1cb641,JORGE HUMBERTO,MEDINA,CUEVAS,14100,COLBUN,13/05/2016,CHILE,OPCIONES A LA COMPRA Y VENTA DE ACCIONES,NINGUNO ,1929303
http://datos.cplt.cl/datos/infoprobidad/declaracion_9407c826d8e3c07ad37cb2d13d1cb641,JORGE HUMBERTO,MEDINA,CUEVAS,31350,COLBUN,12/11/2014,CHILE,OPCIONES A LA COMPRA Y VENTA DE ACCIONES,NINGUNO ,4289620
http://datos.cplt.cl/datos/infoprobidad/declaracion_9407c826d8e3c07ad37cb2d13d1cb641,JORGE HUMBERTO,MEDINA,CUEVAS,7638,FM SECURITY,04/01/2012,CHILE,CUOTAS DE FONDOS MUTUOS,NINGUNO ,23478988
http://datos.cplt.cl/datos/infoprobidad/declaracion_9407c826d8e3c07ad37cb2d13d1cb641,JORGE HUMBERTO,MEDINA,CUEVAS,193,SOQUIMICH-B,16/12/2010,CHILE,OPCIONES A LA COMPRA Y VENTA DE ACCIONES,NINGUNO ,3492335
http://datos.cplt.cl/datos/infoprobidad/declaracion_9407c826d8e3c07ad37cb2d13d1cb641,JORGE HUMBERTO,MEDINA,CUEVAS,1438,CENCOSUD,03/01/2011,CHILE,OPCIONES A LA COMPRA Y VENTA DE ACCIONES,NINGUNO ,2896132
http://datos.cplt.cl/datos/infoprobidad/declaracion_9407c826d8e3c07ad37cb2d13d1cb641,JORGE HUMBERTO,MEDINA,CUEVAS,64205,ENDESA-CH,21/04/2016,CHILE,OPCIONES A LA COMPRA Y VENTA DE ACCIONES,NINGUNO ,30336862
