id,contact_country,sub_category,sub_category_title,acronym,name,main_category,cost_min,cost_max,cost_absolute,fte,acc_count,code,status,country,accredited
f0135bed9f284583b403fd4d39cdfa40,FI,31,"Non-governmental organisations, platforms and networks and similar",SLL-UP,Suomen luonnonsuojelululiiton Uudenmaan piiri,3,,9999,,0.25,0,3182630432-54,active,74,
019729b12da14bf38d3e974e54b937c9,DE,26,Trade unions and professional associations,DRB,"Deutscher Richterbund, Bund der Richterinnen und Richter, Staatsanwältinnen und Staatsanwälte",2,,9999,,0.25,0,3644916703-20,active,82,
ee60020a69354419b5a2a6e8d628fc4b,DE,26,Trade unions and professional associations,BDA,Bundesvereinigung der Deutschen Arbeitgeberverbände e.V.,2,1500000,1749000,,14,7,7749519702-29,active,82,
291e52783aa54c69bd584d543efcea6b,CH,31,"Non-governmental organisations, platforms and networks and similar",oriGIn,Organisation pour un réseau international d’indications géographiques,3,100000,199999,,0.75,0,2292357633-53,active,215,
0c0eff3901034adc9a4da12a11b08cba,BE,25,Trade and business organisations,COCERAL,"Comité du commerce des céréales, aliments du bétail, oléagineux, huile d'olive, huiles et graisses et agrofournitures de l'U.E.",2,800000,899999,,8.75,2,2050009628-31,active,21,
c3094712b29e473ea7e9bad3093d37a8,BE,25,Trade and business organisations,CEBRE,CEBRE - Czech Business Representation to the EU in Brussels,2,,,110000,1.5,0,9412010322-35,active,21,
79512b34cd974523afc9d5d5545af7e5,LV,31,"Non-governmental organisations, platforms and networks and similar",LTA,Latvijas Tirgotāju asociācija,3,,9999,,0.25,0,9604337705-73,active,120,
8609cb3b19834109b411ea4b3f65f237,DK,25,Trade and business organisations,DDHA,Danish District Heating Association/Dansk Fjernvarme,2,100000,199999,,0.75,1,0893446630-97,active,59,
11352b0970364a369bb9495a629c551a,BE,31,"Non-governmental organisations, platforms and networks and similar",,Eurodiaconia,3,200000,299999,,9,4,4293010684-55,active,21,
839abcf40e214079803fe29a4f236ccd,CA,25,Trade and business organisations,IATA,International Air Transport Association,2,900000,999999,,3,2,1805107590-28,active,39,
f2c88ce7010b402c9e9c646ba4412653,FR,63,Regional structures,CRPM - CPMR,Conference of Peripheral Maritime Regions (CRPM),6,1000000,1249999,,7,4,5546423688-07,active,75,
8a056233ba414204bf0065c332ce9758,BE,25,Trade and business organisations,EDANA,EDANA AISBL,2,,9999,,0.25,0,0120704687-67,active,21,
a9669ddcf5af4ada8866dabcef735c0c,DE,25,Trade and business organisations,MIRO,Bundesverband Mineralische Rohstoffe e. V.,2,25000,49999,,0.75,0,5016435313-32,active,82,
500e47c8879b4e53a0e10daa266aada1,NL,31,"Non-governmental organisations, platforms and networks and similar",BirdLife Europe,Stichting BirdLife Europe,3,1250000,1499999,,18,8,1083162721-43,active,155,
79fccf6f56a44bc38728781cd8467f7b,GB,26,Trade unions and professional associations,ICAEW,Institute of Chartered Accountants in England and Wales,2,700000,799999,,2.5,0,7719382720-34,active,233,
3ca5705c9ca24b1b919b02c46d54f17c,BE,25,Trade and business organisations,EFAMA,European Fund and Asset Management Association,2,3000000,3249999,,10.5,10,3373670692-24,active,21,
83274e718bd94f589b68070435960556,DE,25,Trade and business organisations,CEWEP,Confederation of European Waste-to-Energy Plants,2,500000,599999,,4.5,3,7899845424-69,active,82,
22b6b60c8cbd4126a6a2990e8e9fe38e,GB,21,Companies & groups,COP,ConocoPhillips,2,100000,199999,,0.5,0,1798200413-71,active,233,
d297256ff04e4bd088cea153acd0fbe5,BE,25,Trade and business organisations,egta,association of television and radio sales houses,2,200000,299999,,3,2,1977807375-62,active,21,
c2486f0a72944ce8a197cd4307b95c83,BE,31,"Non-governmental organisations, platforms and networks and similar",CG,Coimbra Group,3,,9999,,1.5,0,2837382374-72,active,21,
889581b6e1244552861573ef34d699a3,GB,21,Companies & groups,Sony,Sony Europe Limited,2,200000,299999,,1.25,2,9354466365-17,active,233,
c3ea7d3c0c8e4c06ab3740c6f61052c1,DK,26,Trade unions and professional associations,DTL,Danish Transport and Logistics Association,2,100000,199999,,2,0,4236772430-57,active,59,
a4eccf751d954f82b2aa67282d2c3c44,BE,31,"Non-governmental organisations, platforms and networks and similar",ALTER-EU,Alliance for Lobbying Transparency and Ethics Regulation,3,,,110751,3.75,0,2694372574-63,active,21,
dcca76ed5ab54b69919bab6ee9c8dca4,BE,31,"Non-governmental organisations, platforms and networks and similar",GWEC,Global Wind Energy Council,3,,9999,,0.25,0,0614379494-67,active,21,
2a8bdf4c68a84882b855a4616b145de1,DK,25,Trade and business organisations,DAFC,Landbrug & Fødevarer - Danish Agriculture and Food Council,2,500000,599999,,4.75,3,1634450483-86,active,59,
155c57dd6ece451bb29e16298e020a6d,BE,31,"Non-governmental organisations, platforms and networks and similar",BEUC,Bureau Européen des Unions de Consommateurs,3,2250000,2499999,,23.25,28,9505781573-45,active,21,
55082ae6db4a489fb01cd3c01d3835b3,DE,21,Companies & groups,DB,Deutsche Bahn AG,2,600000,699999,,4,2,4516220482-22,active,82,
4d6a8606640e49b1a26d2ee5ef7b1e0a,GB,25,Trade and business organisations,BBA,British Bankers' Association,2,1750000,1999999,,7,1,5897733662-75,active,233,
9a57cb24782443949f889411c4110a6a,BE,25,Trade and business organisations,FEAD,European Federation of Waste Management and Environmental Services,2,100000,199999,,2.25,4,2157643512-49,active,21,
