id,contact_country,sub_category,acronym,name,main_category,cost_min,cost_max,cost_absolute
f7594586f6e44cdea5c5d9e658722f62,58,31,,Green 10,3,,9999,
f75053a19ba140dd8ba6dd69490929c9,215,31,WOSM,World Organization of the Scout Movement - Bureau Européen du Scoutisme,3,,9999,
f742c70f2d0e46a69fcabd8f74b366f0,108,31,ALC,Associazione Luca Coscioni,3,,9999,
f74195349b0941d39b35d39e0db74d9a,233,21,MEU-BRO,Mitsubishi Electric Europe B.V. Brussels Representative Office,2,100000,199999,
f740cd875ed74eb7a987268ce31c3e11,233,31,GACC,Gatwick Area Conservation Campaign,3,,9999,
f728b561c1444906a7ae77891ef952bf,82,22,JSM,"Verband der Hersteller von Jagd-, Sportwaffen und Munition",2,,9999,
f71ec1b6a5804306941898120e8c6ae3,59,22,DBA,Danish Bankers Association,2,,9999,
f6ffa8f85ec14902abd0ec8cecb12bae,74,22,,Paikallisvoima ry,2,10000,24999,
f6f981522e2842c2aa2a8b7df24edb05,214,21,,Tele2 AB,2,,,20000
f6e6911dd7da418e93db4a1e816a586c,21,22,CED,Council of European Dentists,2,300000,399999,
f6de70e44b674f58a27ff6abe7270fbe,234,22,GMA,Grocery Manufacturers Association,2,,9999,
f6d988aff8f4490fb05b96da86906fe7,108,31,Cesvot,Cesvot-Centro Servizi Volontariato Toscana,3,,9999,
f6b482c17a304352a19414af5a0db070,21,22,PIN-SME,Pan European ICT & eBusiness Network for SMEs,2,10000,24999,
f6a33a7e72e44e5d870da708a31ad8a1,21,22,Pneurop,"European Association of Manufacturers of Compressors, Vacuum Pumps, Pneumatic Tools and Air & Condensate Treatment Equipment",2,10000,24999,
f69b3b35118e44238d249d78587e9a2b,21,22,Empac E.A.,European Metal Packaging External Affairs,2,100000,199999,
f689548d9f5e4b2aa21652b59654dd25,21,22,Euroglaces,European Ice Cream Association,2,,9999,
f683c46a863a4883ac4ab0bd5b6794aa,75,11,,Institutions & Stratégies,1,10000,24999,
f6742f5a001e400a9845923e833fe4d6,233,31,NEF,National Energy Foundation,3,,9999,
f66f669bc06f47a2a70698d6c0a7ecb3,21,11,Laroche Conseil,Laroche Conseil,1,50000,99999,
f66d4b63394445f4b481345eeac5abd2,21,21,DIGITAG,Digital Advice Group,2,10000,24999,
f66b413e5c8342f5bfa95d48d1b6c7e0,209,31,SEO,Sociedad Española de Ornitología,3,,9999,
f66312e3a3d34a93b25438b542ad9353,21,31,AEESTI - ECSITE,"Association Européenne des Expositions Scientifiques, Techniques et Industrielles",3,,9999,
f65f5f0098cf4fb09f6dfe1a329017eb,58,31,SKIP ČR,Svaz knihovníků a informačních pracovníků České republiky,3,,9999,
f65c56fd48e141e4b276f5880536774d,214,21,,Saab AB,2,,,310000
f654d6b582074560a3c55facc66f91aa,75,21,LDA,LOUIS DREYFUS ARMATEURS,2,,9999,
f6509f658c2a40ff8ddd7d1d5170acd7,108,31,,Impronta etica,3,,9999,
f64c33419f624fe89470fd533fc3188a,233,21,Tate & Lyle Sugars,T&L Sugars Limited,2,500000,599999,
f644a3f41f5547519dcf481a24a2d27d,209,22,APROA,Asociación de Organizaciones de Productores de Frutas y Hortalizas de Andalucía,2,,9999,
f634c5a46d8541fda1fc8638480b0b22,21,41,EUROSIF,EUROSIF A.I.S.B.L (EUROPEAN SUSTAINABLE INVESTMENT FORUM),4,10000,24999,
f626dc1be05a4093bc47eef676dd56b3,14,41,FGL,Forschungsgruppe Lebensmittelsicherheit,4,,9999,
f619f650891d4d0d948e8c477f1766e6,75,22,N/A,MYBA The Worldwide Yachting Association,2,,9999,
f6142faa79ff48c48910a2aedf078804,233,22,EBOTA,European Bulk Oil Traders' Association,2,,9999,
f61254852e6741f3a8d903e0fc9f0b75,209,21,ECOEMBES,"ECOEMBALAJES ESPAÑA, S.A.",2,50000,99999,
f6107edc50dd40d98b07bdf5acf053d4,176,21,PGNiG SA,Polskie Gornictwo Naftowe i Gazownictwo SA  -  Polish Oil and Gas Company,2,50000,99999,
f6089874bf9443dbaaad7026cc4fc135,21,31,IFRRO,International Federation of Reproduction Rights Organisations,3,,9999,
f60614ddb75d493f8e66055a27bdb4b9,180,31,ARF,Romanian Franchise Association,3,,9999,
f5fd9bf8de7f4ff38823b636fbf0c76e,21,13,,SP&L Consulting,1,,9999,
f5f8e951b9b7497eb9fccf4d902682cc,233,62,NHBC,National House Building Council,6,,,10000
f5f62088ea3d4cbb892568e28b4a402e,21,13,ProDessus,ProDessus,1,,9999,
f5f26823c22f40d2bfa130ad82301b7b,233,22,BMF,British Marine Federation,2,,9999,
f5f1389ae3a542c68d540cd30f34a328,233,31,EBA,European Boating Association,3,,9999,
f5edeb27dae14097b088ad43aa2c467d,233,22,ESA,European Snacks Association,2,10000,24999,
f5e976463af647ada9552f783faa3c52,21,31,NAEC,National Albanian European Council,3,,9999,
f5dcd4a4fad64b8faf8007a67b327226,165,41,NILU,NILU-Stiftelsen Norsk institutt for luftforskning,4,,9999,
f5d63cefc2604fc19a13a532aae429af,82,22,,Zahntechnikerinnung Rheinland Pfalz,2,,9999,
f5d516c376bb43a9bb4bb97bfdd50e3a,21,22,CIRFS,CIRFS: European Man-made Fibres Association,2,100000,199999,
f5c55a023ee14ecf8b656ca469bb2010,209,31,QueRed,Red Española de Queserías de Campo y Artesanas,3,,9999,
f5c342d367b84645bbb21ac7b1c2c7da,82,22,ADÜ Nord e. V.,Assoziierte Dolmetscher und Übersetzer in Norddeutschland e.V.,2,,9999,
f5c2e1f4ac6840f4a362d0665fd75633,155,21,MN,Mn Services N.V.,2,100000,199999,
f5bb3f9a04154a1da09833863e665717,21,61,,EUROCITIES,6,4500000,4999999,
f5ba7db093f34ccda8c30ed4e23b3861,75,11,RT,RESPONSIBLE TECHNOLOGY,1,,9999,
f5a8fbdecc264bfcbe4a7e0ff1bd87f0,209,31,FIOF - IFFD,Federación International para la Orientación Familiar,3,,9999,
f59f4837d50c4a379e0bf81b5aa65213,75,22,Néant,Les Producteurs de Légumes de France,2,,9999,
f598fa110d0e444c810b92cb96dfef28,108,31,,Genitori Antismog,3,25000,49999,
f595355e4c9241818e30f01b6de7c2be,75,61,AFD,Agence Française de Développement,6,,9999,
f588b7e6b1bc485391bf687482a56a91,21,22,ISFE,ISFE - Representing the European Videogame Industry,2,300000,399999,
f57936ee8b1b4a749d00edde446295b7,180,31,CCIR,Chamber of Commerce and Industry of Romania,3,,9999,
