ID,Name,Country,Political_group,Party,Institution,Previous_position,New_position,category_new_position,category_bar,brussel_lobbying,total_activities,Link_source,Link_profile,on_JTR,Link_picture,Comments,group2,Description,Paid_unpaid,Answers,Certified,Date of Commission authorisation,Based on advice from Ad hoc Ethical Committee?,Link to authorisation in College of Commissioners' minutes,"Link to Commission authorisation documents, released under freedom of information rules. Click on the links to read the documents",Link Transparency register,Number of activities 
96867,Maria Da Graça Carvalho,Portugal,EPP,Social Democratic Party,European parliament,MEP,Advisor for the European Commission,Public Sector,Public Sector,no,1,http://ec.europa.eu/dgs/policy_advisers/team/cv_carvalho_en.htm,,No,,,,,,,Raphael,,,,,,
96902,Maria Do Céu Patrão Neves,Portugal,EPP,Social Democratic Party,European parliament,MEP,Professor of philosophy at the University of the Acores ,Academia,University,no,1,http://www.mpatraoneves.pt/en/reunioes-cientificas/,,Yes,,,,,,,Raphael,,,,,,
39319,Maria Eleni Koppa,Greece,S&D,Panhellenic Socialist movement,European parliament,MEP,No information available,Unknown,Unknown,Unknown,1,,,No,,,PASOK,No more info,,,Raphael,,,,,,
105192,María Irigoyen Pérez,Spain,S&D,Socialist Workers' Party,European parliament,MEP,Senator,Public Sector,Elected office,no,1,http://www.senado.es/web/composicionorganizacion/senadores/composicionsenado/fichasenador/index.html?legis=11&id1=17003,,No,,,PSOE,,,,Raphael,,,,,,
96701,María Muñiz De Urquiza,Spain,S&D,Socialist Workers' Party,European parliament,MEP,No information available,Unknown,Unknown,Unknown,1,https://es.wikipedia.org/wiki/Mar%C3%ADa_Mu%C3%B1iz_de_Urquiza,,No,,,,Confirmed,,,Raphael,,,,,,
96896,Marielle Gallo,France,EPP,Modern Left,European parliament,MEP,No information available,Unknown,Unknown,Unknown,1,,,No,,,,Party Membership is not a job?,,No she is just a Member of the UDI,Raphael,,,,,,
96746,Marie-Thérèse Sanchez-Schmid,France,EPP,Union for a Popular Movement,European parliament,MEP,Assistant to the Mayor of Perpignan; English teacher; National secretary for European Policies at Les Republicains,Public Sector,Public Sector,no,3,https://fr.wikipedia.org/wiki/Marie-Th%C3%A9r%C3%A8se_Sanchez-Schmid,,No,,,UMP,,,,TI-FR,,,,,,
1431,Marietta Giannakou,Greece,EPP,Modern Left,European parliament,MEP,Retired,Other,Retired / Deceased,no,1,https://goo.gl/xwmgRk,,No,,,PASOK,,,,Raphael,,,,,,
96726,Marije Cornelissen,Netherlands,Greens/EFA,GreenLeft,European parliament,MEP,Owner of Cornelissen Consultancy EU; Executive director of the UN national committe in the Netherlands ,Private Sector,Consultancy,yes ,2,http://cornelissenConsultancies.eu/index.php,,No,,,,Not sure if UN position is combined with Consultancy,,,Raphael,,,,,,
96944,Marina Yannakoudakis,United Kingdom,ECR,Conservative Party,European parliament,MEP,Consultant on woman's right for the EESC,Public Sector,Public Sector,no,1,http://memberspage.eesc.europa.eu/Search/Details/Person/2032962,,No,,,,,,,Raphael,,,,,,
119439,Marino Baldini,Croatia,S&D,Social Democratic Party,European parliament,MEP,No information available,Unknown,Unknown,Unknown,1,,,No,,,,No further info ,,,Raphael,,,,,,
96973,Mário David,Portugal,EPP,Social Democratic Party,European parliament,MEP,Member of the strategic board of BANIF (Bank) ,Private Sector,Company and Group,no,1,https://goo.gl/IB0cAS,,No,,,,,,,Raphael,,,,,,
4393,Mario Mauro,Italy,EPP,Democratic Party,European parliament,MEP,Senator,Public Sector,Elected office,no,1,http://www.senato.it/leg/17/BGT/Schede/Attsen/00029135.htm,,No,,,,,,,Raphael,,,,,,
96890,Mario Pirillo,Italy,S&D,Democratic Party,European parliament,MEP,Retired,Other,Retired / Deceased,no,1,https://it.wikipedia.org/wiki/Mario_Pirillo,,No,,,PD,,,,Raphael,,,,,,
96954,Marta Andreasen,United Kingdom,ECR,Conservative Party[1],European parliament,MEP,No information available,Unknown,Unknown,Unknown,1,,,No,,,,,,,Raphael ,,,,,,
4536,Martin Callanan,United Kingdom,ECR,Conservative Party,European parliament,MEP,Consultant for Symphony Environmental Technologies; Life peer at the House the Lords,Private Sector,Consultancy,yes ,1,https://corporateeurope.org/revolvingdoorwatch/cases/martin-callanan,,No,,,,,"Symphony Environmental pays Fleishman Hillard at least 25k€ for lobbying, but is not itself on the EU Transparency Register.","He's a consultant for which specialises in specializes in developing and marketing a wide range of plastic products and Others environmental technologies, and operates worldwide",Raphael,,,,,,
39769,Martin Ehrenhauser,Austria,NI,Hans-Peter Martin's List,European parliament,MEP,No information available,Unknown,Unknown,Unknown,1,https://de.wikipedia.org/wiki/Martin_Ehrenhauser,,No,,,,Active on twitter. Current occupation unkmown,,,TI-AT,,,,,,
25919,Martin Kastler,Germany,EPP,Christian Social Union (Bavaria),European parliament,MEP,National Chairman of Ackermann-Gemeinde (community of Catholic churches),Other,Religious community,no,1,No link found ,,No,,,,,,,TI-DE,,,,,,
37524,Marusya Lyubcheva,Bulgaria,S&D,Bulgarian Socialist Party,European parliament,MEP,Member of the Bulgarian parliament ,Public Sector,Elected office,no,1,http://www.parliament.bg/en/MP/781,,No,,,BSP,,,,TI-BG,,,,,,
2247,Mathieu Grosch,Belgium,EPP,Christian Social Party,European parliament,MEP,TEN-T coordinator for European Commission ,Public Sector,Public Sector,no,1,https://ec.europa.eu/transport/themes/infrastructure/ten-t-guidelines/european-coordinators/mathieu-grosch_en,,No,,,,,,,Raphael,,,,,,
38613,Metin Kazak,Bulgaria,ALDE,Movement for Rights and Freedoms,European parliament,MEP,Ambassador in Doha,Public Sector,Public Sector,no,1,https://www.embassypages.com/missions/embassy22672/,,No,,,,,,,TI-BG,,,,,,
4532,Michael Cashman,United Kingdom,S&D,National Liberal Party,European parliament,MEP,Member of the House of Lords ,Public Sector,Elected office,no,1,https://www.parliament.uk/biogRaphaelies/lords/lord-cashman/4340,,No,,,PNL ,,,,Raphael,,,,,,
96909,Michail Tremopoulos,Greece,Greens/EFA,Ecologist Greens,European parliament,MEP, Co-President of Antigone; Lawyer; Journalist; Environmentalist; Politician,NGO,NGO,no,1,http://www.antigone.gr/en/staff/,,No,,,,,,,Raphael,,,,,,
