name,id,voted,votes,percent,active
"Maria João RODRIGUES",124737,1882,2058,91.45,True
"Claude TURMES",4432,1882,2058,91.45,True
"Jo LEINEN",4262,1880,2058,91.35,True
"Anna Elżbieta FOTYGA",28353,1879,2058,91.30,True
"Bernd LANGE",1909,1879,2058,91.30,True
"Linda McAVAN",2327,1879,2058,91.30,True
"Paulo RANGEL",96903,1879,2058,91.30,True
"Javi LÓPEZ",125042,1878,2058,91.25,True
"Jaromír ŠTĚTINA",124702,1878,2058,91.25,True
"Vicky MAEIJER",97513,1877,2058,91.21,True
"Mairead McGUINNESS",28115,1877,2058,91.21,True
"Filiz HYUSMENOVA",34249,1875,2058,91.11,True
"Francisco ASSIS",28307,1874,2058,91.06,True
"Francesc GAMBÚS",125006,1874,2058,91.06,True
"Josef WEIDENHOLZER",111014,1874,2058,91.06,True
"Therese COMODINI CACHIA",124968,1873,2058,91.01,True
"Elisa FERREIRA",28308,1873,2058,91.01,True
"Jill SEYMOUR",124950,1873,2058,91.01,True
"Kay SWINBURNE",96920,1873,2058,91.01,True
"Linnéa ENGSTRÖM",128588,1872,2058,90.96,True
"Verónica LOPE FONTAGNÉ",96765,1872,2058,90.96,True
"Miroslav POCHE",124699,1872,2058,90.96,True
"Steeve BRIOIS",124757,1871,2058,90.91,True
"Róża Gräfin von THUN UND HOHENSTEIN",96776,1871,2058,90.91,True
"Georg MAYER",38511,1869,2058,90.82,True
"Renate WEBER",39713,1868,2058,90.77,True
"Silvia COSTA",96917,1867,2058,90.72,True
"Karol KARSKI",124887,1865,2058,90.62,True
"Inês Cristina ZUBER",111589,1865,2058,90.62,True
"Goffredo Maria BETTINI",124819,1864,2058,90.57,True
"Paavo VÄYRYNEN",2128,1863,2058,90.52,True
"Gerolf ANNEMANS",124973,1862,2058,90.48,True
"Damian DRĂGHICI",124786,1862,2058,90.48,True
"Neena GILL",4533,1861,2058,90.43,True
"Richard HOWITT",2073,1861,2058,90.43,True
"Karl-Heinz FLORENZ",1038,1859,2058,90.33,True
"Dimitrios PAPADIMOULIS",28586,1859,2058,90.33,True
"Judith SARGENTINI",96815,1859,2058,90.33,True
"Jean-Paul DENANOT",94282,1857,2058,90.23,True
"Dubravka ŠUICA",119434,1857,2058,90.23,True
"Rosa ESTARÀS FERRAGUT",96811,1856,2058,90.18,True
"Vicky FORD",96949,1856,2058,90.18,True
"Michael GAHLER",2341,1856,2058,90.18,True
"Matteo SALVINI",28404,1856,2058,90.18,True
"Alyn SMITH",28508,1856,2058,90.18,True
"Kathleen VAN BREMPT",5729,1856,2058,90.18,True
"Edouard FERRAND",124767,1855,2058,90.14,True
"Martin HÄUSLING",96752,1854,2058,90.09,True
"Olaf STUGER",125028,1854,2058,90.09,True
"Julie GIRLING",96956,1850,2058,89.89,True
"Eva PAUNOVA",98341,1850,2058,89.89,True
"Cora van NIEUWENHUIZEN",125019,1849,2058,89.84,True
"Eva JOLY",96883,1846,2058,89.70,True
"Louis MICHEL",96670,1846,2058,89.70,True
"Anne-Marie MINEUR",125037,1846,2058,89.70,True
"Emilian PAVEL",129256,1792,2000,89.60,True
"Sofia SAKORAFA",125091,1841,2058,89.46,True
"Maria ARENA",124936,1840,2058,89.41,True
"Dominique RIQUET",96885,1838,2058,89.31,True
"Mireille D'ORNANO",124750,1836,2058,89.21,True
"Mady DELVAUX",124776,1836,2058,89.21,True
"Mihai ŢURCANU",131750,1568,1758,89.19,True
"Costas MAVRIDES",124691,1835,2058,89.16,True
"Alojz PETERLE",23693,1835,2058,89.16,True
"Eleftherios SYNADINOS",125072,1834,2058,89.12,True
