Name,Country,Political_group,Party,Institution,Previous_position,New_position,Category_activity,Link_profile,Link_source,Description,Paid_unpaid,Date,Answers,Certified
José Manuel GARCÍA-MARGALLO Y MARFIL,Spain,EPP,People's Party,European Parliament,MEP,Minister of Foreign Affairs and Cooperation,Elected office & public sector,,,,,,,
Giuseppe GARGANI,Italy,EPP,Forza Italia,European Parliament,MEP,Politician and Lawyer,lawyer,,,,,,,
Salvador GARRIGA POLLEDO,Spain,EPP,People's Party,European Parliament,MEP,No updated information available,Unknown,,,,,,,
Jean-Paul GAUZÈS,France,EPP,Union for a Popular Movement,European Parliament,MEP,Member of the Wilfried Martens Centre. Board President of the European Financial Reporting Advisory Group. ,brussels-focussed lobbying,,,,,,,
Marietta GIANNAKOU,Greece,EPP,New Democracy,European Parliament,MEP,Member of the Hellenic Parliament,Elected office & public sector,,,,,,,
Georgios GKIKOPOULOS,Greece,GUE/NGL,KKE,European Parliament,MEP,No updated information available,Unknown,,,,,,,
Norbert GLANTE,Germany,S&D,Social Democratic Party,European Parliament,MEP,Partner at PKS Kommunikations- und Strategieberatung GmbH,brussels-focussed lobbying,,https://www.linkedin.com/in/norbert-glante-a99835a3,Recheck how much focus on EU lobbying or just German lobbying?,,,"According to his linkedin explanation this org supports business in their public relation strategies at the German Federal, Lander and Municipal level as wel at the EU. Seems more focussed on Germany but he mentions himself the EU.",Raphael 
Béla GLATTFELDER,Hungary,EPP,Fidesz–Hungarian Civic Union,European Parliament,MEP,CEO national hungarian railway company ,Private Sector,,,,,,,TI-HU
Ivars GODMANIS,Latvia,ALDE,Latvia's First Party/Latvian Way,European Parliament,MEP,No updated information available,Unknown,,,,,,,
Robert GOEBBELS,Luxembourg,S&D,Socialist Workers' Party,European Parliament,MEP,Governor for Luxembourg in the ASIA-Europe Foundation,NGO,,,,,,,TI-HU
Kinga GÖNCZ,Hungary,S&D,Socialist Party,European Parliament,MEP,Chair of Roma Advisory Board at Open Society Foundations. Member of the UN High-Level panel on access to medicines,NGO,,https://en.wikipedia.org/wiki/Kinga_G%C3%B6ncz,,,,,TI-HU
Louis GRECH,Malta,S&D,Labour Party (2009–2013),European Parliament,MEP,"Deputy Prime Minister of Malta, Minister of European Affairs",Elected office & public sector,,,,,,,
Estelle GRELIER,France,S&D,Socialist Party,European Parliament,MEP,"Secrétaire d’État auprès du ministre de l’Aménagement du territoire, de la Ruralité et des Collectivités territoriales, chargée des Collectivités territoriales",Elected office & public sector,,,,,,,
Catherine GRÈZE,France,Greens-EFA,Europe Ecology,European Parliament,MEP,Member of the Greens in France and of the Executive Committee of the European Federation of the Green Parties,Elected office & public sector,,,Unclear if these are jobs,,,,
Nick GRIFFIN,United Kingdom,NI,British National Party,European Parliament,MEP,"Set up a new party, called British Unity, after being expelled from the British National Party",Elected office & public sector,,,,,,,
Mathieu GROSCH,Belgium,EPP,Christian Social Party,European Parliament,MEP,"Coordinateur de Réseaux de Transport Européens, European Commission ",Elected office & public sector,,,,,,,
Pascale GRUNY,France,PPE,UMP,European Parliament,MEP,Directeur Ressources Humaines et compta finances chez Groupe TUPPIN,Private Sector,,,,,,,
Zita GURMAI,Hungary,S&D,Socialist Party,European Parliament,MEP,"Special advisor to the Commission on gender balance. Board Member of European Union Women Caucus, Vice-President of the Foundation for European Progressive Studies ",Elected office & public sector,,http://ec.europa.eu/civil_service/about/who/sa_en.htm,Special advisor to the EC...,,,,Raphael
Mikael GUSTAFSSON,Sweden,GUE/NGL,V,European Parliament,MEP,No updated information available,Unknown,,,,,,,
Cristina GUTIÉRREZ-CORTINES,Spain,EPP,People's Party,European Parliament,MEP,Vice.President of Ars Civilis Foundation,NGO,,,,,,,
Enik? GY?RI,Hungary,EPP,Fidesz–Hungarian Civic Union,European Parliament,MEP,Ambassador of Hungary to Spain,Elected office & public sector,,http://www.mfa.gov.hu/kulkepviselet/ES/es/es_munkatarsak/,,,,,TI-HU
Gerald HÄFNER,Germany,Greens-EFA,Alliance '90/The Greens,European Parliament,MEP,Dean of the social sciences section of the Goetheanum,Academic,,http://sozial.goetheanum.org/about-us/structure/,,,,,Raphael
Carl HAGLUND,Finland,ALDE,Swedish People's Party,European Parliament,MEP,Board member at Millton Group,Private Sector,,https://corporateeurope.org/revolvingdoorwatch/cases/carl-haglund,,,,,
Fiona HALL,United Kingdom,ALDE,Liberal Democrats,European Parliament,MEP,Senior policy advisor to its energy efficiency team. Rockwool International A/S (Hall's major consultancy client),Private Sector,,https://corporateeurope.org/revolvingdoorwatch/cases/fiona-hall,,,,,
Ma?gorzata HANDZLIK,Poland,EPP,Civic Platform,European Parliament,MEP,Member of the European Network for Women in Leadership ,NGO,,,Unclear if this is a job,,,,
Ágnes HANKISS,Hungary,EPP,Fidesz–Hungarian Civic Union,European Parliament,MEP,Director of the Hamvas Institute of Cultural and Security studies  ,Academic,,http://www.hamvasintezet.hu/en/,Not sure about this one,,,Pb: No website on this instute.  Publishes books apparently --> Would suggest research or academic,TI-HU
Malcolm HARBOUR,United Kingdom,ECR,Conservative Party,European Parliament,MEP,"Senior Adviser at cabinet DN, Senior Adviser at European Policy Center ",Brussels-focussed lobbying,,,,,,,
Lucas HARTONG,Netherlands,NI,PVV,European Parliament,MEP,Independent columnist,Media,,,,,,,
Satu HASSI,Finland,Greens-EFA,Green League,European Parliament,MEP,"Member of Parliament of Finland, Chair of the Committee on Environment",Elected office & public sector,,,,,,,
Jutta HAUG,Germany,S&D,Social Democratic Party,European Parliament,MEP,Chairwoman of Hertener Bürgerstiftung (honorary post),NGO,,http://www.hertenerbuergerstiftung.de/was-wir-tun/,,,,,Raphael
Ji?í HAVEL,Czech Republic,S&D,Social Democratic Party,European Parliament,MEP,died,Deceased,,,,,,,
Jacky HÉNIN,France,GUE/NGL,Left Front (Communist Party),European Parliament,MEP,Municipal Councelor in in the city of Calais. Secretary of the Communist Pary division of la Somme.,Elected office & public sector,,http://www.calais.fr/fr/Ville-de-Calais/la-mairie/vie-municipale/les-elus/presentation?userprofile=566841111a6c7e89089a8a7f,Unclear if this is a job,,,Elected in the city of Calais ,Raphael
Jeanine HENNIS-PLASSCHAERT,Netherlands,ALDE,People's Party for Freedom and Democracy,European Parliament,MEP,Minister of Defence in Netherlands ,Elected office & public sector,,,,,,,
Edit HERCZOG,Hungary,S&D,Socialist Party,European Parliament,MEP,"Founder, owner and managing director of Vision & Values SPRL",Brussels-focussed lobbying,https://www.linkedin.com/in/editherczog,http://europe.rd-alliance.org/weaving-internet-of-data-high-level-policy-meeting-speaker-profiles,Vision and Values is a brussels-based consultancies with large multinational companies as their clients as well institutional clients. Clear CoI here..,,,,TI-HU 
Jolanta Emilia HIBNER,Poland,EPP,Civic Platform,European Parliament,MEP,Deputy in the National Assembly in Poland,Elected office & public sector,,,,,,,
Balázs HIDVÉGHI,Hungary,EPP,Fidesz-MPP,European Parliament,MEP,Spokesman for the Hungarian National Bank. Deputy Director for Strategy of Fidesz-Hungarian Civic Union.,Elected office & public sector,,https://en.wikipedia.org/wiki/Bal%C3%A1zs_Hidv%C3%A9ghi,,,,,Raphael
Jim HIGGINS,Ireland,EPP,Fine Gael,European Parliament,MEP,No updated information available,Unknown,,,,,,,
Joe HIGGINS,Ireland,GUE/NGL,Socialist Party,European Parliament,MEP,Retired from public life ,retired,,,,,,,
Nadja HIRSCH,Germany,ALDE,Free Democratic Party,European Parliament,MEP,"Head of Communications, Press Officer at Raisin GmbH. She was also Deputy Managing Director of Handelsblatt Global Edition
Verlagsgruppe HandelsblattHead of Communications, Press Officer at Raisin GmbH. She was also Deputy Managing Director of Handelsblatt Global Edition
Verlagsgruppe HandelsblattHead of Communications, Press Officer at Raisin GmbH. She was also Deputy Managing Director of Handelsblatt Global Edition
Verlagsgruppe HandelsblattHead of Communications, Press Officer at Raisin GmbH. She was also Deputy Managing Director of Handelsblatt Global Edition
Verlagsgruppe HandelsblattHead of Communications, Press Officer at Raisin GmbH. She was also Deputy Managing Director of Handelsblatt Global Edition
Verlagsgruppe HandelsblattHead of Communications, Press Officer at Raisin GmbH. She was also Deputy Managing Director of Handelsblatt Global Edition
Verlagsgruppe HandelsblattHead of Communications, Press Officer at Raisin GmbH. She was also Deputy Managing Director of Handelsblatt Global Edition
Verlagsgruppe HandelsblattHead of Communications, Press Officer at Raisin GmbH. She was also Deputy Managing Director of Handelsblatt Global Edition
Verlagsgruppe HandelsblattHead of Communications, Press Officer at Raisin GmbH. She was also Deputy Managing Director of Handelsblatt Global Edition
Verlagsgruppe HandelsblattHead of Communications, Press Officer at Raisin GmbH. She was also Deputy Managing Director of Handelsblatt Global Edition
Verlagsgruppe HandelsblattHead of Communications, Press Officer at Raisin GmbH. She was also Deputy Managing Director of Handelsblatt Global Edition
Verlagsgruppe HandelsblattHead of Communications, Press Officer at Raisin GmbH. She was also Deputy Managing Director of Handelsblatt Global Edition
Verlagsgruppe HandelsblattHead of Communications, Press Officer at Raisin GmbH. She was also Deputy Managing Director of Handelsblatt Global Edition
Verlagsgruppe HandelsblattHead of Communications, Press Officer at Raisin GmbH. She was also Deputy Managing Director of Handelsblatt Global Edition
Verlagsgruppe HandelsblattHead of Communications, Press Officer at Raisin GmbH. She was also Deputy Managing Director of Handelsblatt Global Edition
Verlagsgruppe HandelsblattHead of Communications, Press Officer at Raisin GmbH. She was also Deputy Managing Director of Handelsblatt Global Edition
Verlagsgruppe HandelsblattHead of Communications, Press Officer at Raisin GmbH. She was also Deputy Managing Director of Handelsblatt Global Edition
Verlagsgruppe HandelsblattHead of Communications, Press Officer at Raisin GmbH. She was also Deputy Managing Director of Handelsblatt Global Edition
Verlagsgruppe HandelsblattHead of Communications, Press Officer at Raisin GmbH. She was also Deputy Managing Director of Handelsblatt Global Edition
Verlagsgruppe HandelsblattHead of Communications, Press Officer at Raisin GmbH. She was also Deputy Managing Director of Handelsblatt Global Edition
Verlagsgruppe HandelsblattHead of Communications, Press Officer at Raisin GmbH. She was also Deputy Managing Director of Handelsblatt Global Edition
Verlagsgruppe HandelsblattHead of Communications, Press Officer at Raisin GmbH. She was also Deputy Managing Director of Handelsblatt Global Edition
Verlagsgruppe HandelsblattHead of Communications, Press Officer at Raisin GmbH. She was also Deputy Managing Director of Handelsblatt Global Edition
Verlagsgruppe HandelsblattHead of Communications, Press Officer at Raisin GmbH. She was also Deputy Managing Director of Handelsblatt Global Edition
Verlagsgruppe HandelsblattHead of Communications, Press Officer at Raisin GmbH. She was also Deputy Managing Director of Handelsblatt Global Edition
Verlagsgruppe HandelsblattHead of Communications, Press Officer at Raisin GmbH. She was also Deputy Managing Director of Handelsblatt Global Edition
Verlagsgruppe HandelsblattHead of Communications, Press Officer at Raisin GmbH. She was also Deputy Managing Director of Handelsblatt Global Edition
Verlagsgruppe Handelsblatt",Private Sector,,https://www.linkedin.com/in/nadjahirsch/en,,,,,TI-DE
Liem HOANG NGOC,France,S&D,PS,European Parliament,MEP, associate professor at the University of Paris 1 Pantheon-Sorbonne.,Academic,,,,,,,
Elie HOARAU,France,GUE/NGL,PCR,European Parliament,MEP,Retired from public life ,retired,,,,,,,
Stephen HUGHES,United Kingdom,PASD,Labour Party,European Parliament,MEP,No updated information available,Unknown,,,,,,,Raphael
Salvatore IACOLINO,Italy,EPP,0,European Parliament,MEP,No updated information available,Unknown,,,,,,,
Anna IBRISAGIC,Sweden,EPP,N,European Parliament,MEP,No updated information available,Unknown,,,,,,,
Stanimir ILCHEV,Bulgaria,ALDE,National Movement for Stability and Progress (National Movement Simeon II),European Parliament,MEP,No updated information available,Unknown,,,,,,,
Juozas IMBRASAS,Lituania,EFD,Order and Justice,European Parliament,MEP,No updated information available,Unknown,,,,,,,
Vincenzo IOVINE,Italy,ALDE,0,European Parliament,MEP,Secreatry General of Federazione Nazionale Usppi Agricoltura,NGO,,,,,,,
Iñaki IRAZABALBEITIA FERNÁNDEZ,Spain,Greens-EFA,Aralar,European Parliament,MEP,Corresponding academic for Euskaltzaindia (Academy of the basque language),Academic,,,,,,,
María IRIGOYEN PÉREZ,Spain,S&D,PSOE,European Parliament,MEP,"Senator for Soria, Spain",Elected office & public sector,,,,,,,
Ville ITÄLÄ,Finland,EPP,National Coalition Party,European Parliament,MEP,"Partner, Attorney at Astrea Attorneys at Law Ltd, Member of the European Court of Auditors",Elected office & public sector,,,,,,,
Iliana IVANOVA,Bulgaria,EPP,GERB,European Parliament,MEP,Member of the European Court of Auditors ,Elected office & public sector,,,,,,,
Lívia JÁRÓKA,Hungary,EPP,Fidesz–Hungarian Civic Union,European Parliament,MEP,Freelancing expert / researcher,Unknown,,,Could not verify this claim. Leave unknown,,,,TI-HU
Sidonia El?bieta J?DRZEJEWSKA,Poland,EPP,Civic Platform,European Parliament,MEP,No updated information available,Unknown,,,,,,,
Elisabeth JEGGLE,Germany,EPP,Christian Democratic Union,European Parliament,MEP,Member of Council in Biberach ,Elected office & public sector,,https://biberach-riss.de/media/custom/1516_1951_1.PDF?1450355323,,,,,TI-DE
Rumiana JELEVA,Bulgaria,EPP,Citizens for European Development of Bulgaria,European Parliament,MEP,Member of Wilfried Martens Centre,Elected office & public sector,,,,,,,
Anne E. JENSEN,Denmark,ALDE,"Left, Liberal Party",European Parliament,MEP,No updated information available,Unknown,,,,,,,
Kent JOHANSSON,Sweden,ALDE,C,European Parliament,MEP,Directorate-General for Translation of the European Parliament,Elected office & public sector,,,,,,,
Romana JORDAN,Slovenia,EPP,Democratic Party,European Parliament,MEP,"Assistant to the director at Jožef Stefan Institute. chair of the ACER Administrative Board. She is also member of the Management Board of Financial Fund for Decommissioning of the Nuclear Power Plant Krško (2015 -) and member of the Administrative Board of the Urban Planning Institute of the Republic of Slovenia (January 2015 – ). She is president of the Sustainable Energy Society (2015 -), as well as member of several other civil society initiatives.",NGO,,,,,,,
Dan JØRGENSEN,Denmark,S&D,Social Democrats,European Parliament,MEP,"Adjunct Professor, Aalborg University, 2016",Academic,,,,,,,
Oriol JUNQUERAS VIES,Spain,Greens-EFA,Europe of the Peoples–Greens ( Republican Left of Catalonia),European Parliament,MEP,Vice President of Catalan Government,Elected office & public sector,,,,,,,
Jelko KACIN,Slovenia,ALDE,Liberal Democracy,European Parliament,MEP,Permanent Representative of Slovenia to NATO,Elected office & public sector,,,,,,,
Filip KACZMAREK,Poland,EPP,Civic Platform,European Parliament,MEP,No updated information available,Unknown,,,,,,,
Ivailo KALFIN,Bulgaria,S&D,Coalition for Bulgaria (Socialist Party),European Parliament,MEP,resigned from being a Deputy Prime Minister and Labour Minister in 2016,Elected office & public sector,,,,,,,
Micha? Tomasz KAMI?SKI,Poland,ECR,Law and Justice / Poland Comes First,European Parliament,MEP,Partner at Prism Group,Brussels-focussed lobbying,,https://corporateeurope.org/revolvingdoorwatch/cases/micha-kami-ski,,,,,
Patricia van der KAMMEN,Netherlands,NI,PVV,European Parliament,MEP,"Controller at Tilburg Universitz for Library and IT services, Treasurer pf Noord/ Brabant Province ",Academic,,,,,,,
Ioannis KASOULIDES,Cyprus,EPP,Democratic Rally,European Parliament,MEP,Minister of Foreign Affairs of the Republic of Cyprus,Elected office & public sector,,,,,,,
Martin KASTLER,Germany,EPP,Christian Social Union (Bavaria),European Parliament,MEP,National Chairman of Ackermann-Gemeinde (community of the catholic churches),NGO,,No link found ,,,,,TI-DE
Metin KAZAK,Bulgaria,ALDE,Movement for Rights and Freedoms,European Parliament,MEP,"Ambassador of the Republic of Bulgaria in Doha, State of Qatar",Elected office & public sector,,,,,,,
Alan KELLY,Ireland,S&D,Labour Party,European Parliament,MEP,He is a Teachta Dála (TD) for Tipperary,Elected office & public sector,,,,,,,
Nicole KIIL-NIELSEN,France,Greens-EFA,Europe Ecology,European Parliament,MEP,No updated information available,Unknown,,,,,,,
Evgeni KIRILOV,Bulgaria,S&D,Coalition for Bulgaria (Socialist Party),European Parliament,MEP,No updated information available,Unknown,,,,,,,
Christa KLASS,Germany,EPP,Christian Democratic Union,European Parliament,MEP,Member of the Bernkastel-Wittlich district council and member of the municipal council of Osann-Monzel.,Elected office & public sector,,https://de.wikipedia.org/wiki/Christa_Kla%C3%9F,,,,,TI-DE
Mojca KLEVA KEKUŠ,Slovenia,S&D,SD,European Parliament,MEP,Expert in EU decision-making,Brussels-focussed lobbying,,,What exactly is she doing? Where is she experting?,,,,
Wolf KLINZ,Germany,ALDE,Free Democratic Party,European Parliament,MEP,Senior Advisor at Cabinet AD in Brussels. ,Brussels-focussed lobbying,,http://www.cabinetdn.com/our-team/wolf-klinz/,Active in Brussels ,,,,TI-DE 
Jürgen KLUTE,Germany,GUE/NGL,The Left,European Parliament,MEP,Lutheran Pastor ,Other,,No link ,,,,,TI-DE 
Silvana KOCH-MEHRIN,Germany,ALDE,Free Democratic Party,European Parliament,MEP,Senior policy adviser at Gplus Europe,Brussels-focussed lobbying,,https://corporateeurope.org/revolvingdoorwatch/cases/silvana-koch-mehrin,,,,,TI-DE 
Annette KOEWIUS,Germany,EPP,CDU,European Parliament,MEP,Chair of the Women's Union Kreisverband Mettmann,NGO,,http://www.frauen-union-kreismettmann.de/,,,,,TI-DE 
Lena KOLARSKA-BOBI?SKA,Poland,EPP,Civic Platform,European Parliament,MEP,"Minister of Science and Higher Education , professor of sociology ",Elected office & public sector,,,,,,,
Maria Eleni KOPPA,Greece,S&D,PASOK,European Parliament,MEP,No updated information available,Unknown,,,,,,,
Eija-Riitta KORHOLA,Finland,EPP,National Coalition Party,European Parliament,MEP,"Member of the Steering Committee
ICEF Innovation for Cool Earth Forum, Delegate of the Consultative Commission on Industrial Change (CCMI) (2016-2021)Member of the Steering Committee
ICEF Innovation for Cool Earth Forum, Delegate of the Consultative Commission on Industrial Change (CCMI) (2016-2021)Member of the Steering Committee
ICEF Innovation for Cool Earth Forum, Delegate of the Consultative Commission on Industrial Change (CCMI) (2016-2021)Member of the Steering Committee
ICEF Innovation for Cool Earth Forum, Delegate of the Consultative Commission on Industrial Change (CCMI) (2016-2021)Member of the Steering Committee
ICEF Innovation for Cool Earth Forum, Delegate of the Consultative Commission on Industrial Change (CCMI) (2016-2021)Member of the Steering Committee
ICEF Innovation for Cool Earth Forum, Delegate of the Consultative Commission on Industrial Change (CCMI) (2016-2021)Member of the Steering Committee
ICEF Innovation for Cool Earth Forum, Delegate of the Consultative Commission on Industrial Change (CCMI) (2016-2021)Member of the Steering Committee
ICEF Innovation for Cool Earth Forum, Delegate of the Consultative Commission on Industrial Change (CCMI) (2016-2021)Member of the Steering Committee
ICEF Innovation for Cool Earth Forum, Delegate of the Consultative Commission on Industrial Change (CCMI) (2016-2021)Member of the Steering Committee
ICEF Innovation for Cool Earth Forum, Delegate of the Consultative Commission on Industrial Change (CCMI) (2016-2021)Member of the Steering Committee
ICEF Innovation for Cool Earth Forum, Delegate of the Consultative Commission on Industrial Change (CCMI) (2016-2021)Member of the Steering Committee
ICEF Innovation for Cool Earth Forum, Delegate of the Consultative Commission on Industrial Change (CCMI) (2016-2021)Member of the Steering Committee
ICEF Innovation for Cool Earth Forum, Delegate of the Consultative Commission on Industrial Change (CCMI) (2016-2021)Member of the Steering Committee
ICEF Innovation for Cool Earth Forum, Delegate of the Consultative Commission on Industrial Change (CCMI) (2016-2021)Member of the Steering Committee
ICEF Innovation for Cool Earth Forum, Delegate of the Consultative Commission on Industrial Change (CCMI) (2016-2021)Member of the Steering Committee
ICEF Innovation for Cool Earth Forum, Delegate of the Consultative Commission on Industrial Change (CCMI) (2016-2021)Member of the Steering Committee
ICEF Innovation for Cool Earth Forum, Delegate of the Consultative Commission on Industrial Change (CCMI) (2016-2021)Member of the Steering Committee
ICEF Innovation for Cool Earth Forum, Delegate of the Consultative Commission on Industrial Change (CCMI) (2016-2021)Member of the Steering Committee
ICEF Innovation for Cool Earth Forum, Delegate of the Consultative Commission on Industrial Change (CCMI) (2016-2021)Member of the Steering Committee
ICEF Innovation for Cool Earth Forum, Delegate of the Consultative Commission on Industrial Change (CCMI) (2016-2021)Member of the Steering Committee
ICEF Innovation for Cool Earth Forum, Delegate of the Consultative Commission on Industrial Change (CCMI) (2016-2021)Member of the Steering Committee
ICEF Innovation for Cool Earth Forum, Delegate of the Consultative Commission on Industrial Change (CCMI) (2016-2021)Member of the Steering Committee
ICEF Innovation for Cool Earth Forum, Delegate of the Consultative Commission on Industrial Change (CCMI) (2016-2021)Member of the Steering Committee
ICEF Innovation for Cool Earth Forum, Delegate of the Consultative Commission on Industrial Change (CCMI) (2016-2021)",Elected office & public sector,,,,,,,
Georgios KOUMOUTSAKOS,Greece,EPP,ND,European Parliament,MEP,Spokesman / Member of Hellenic Parliament,Elected office & public sector,,,,,,,
Pawe? Robert KOWAL,Poland,ECR,Law and Justice / Poland Comes First,European Parliament,MEP,No updated information available,Unknown,,,,,,,
Sergej KOZLÍK,Slovakia,ALDE,People's Party–Movement for a Democratic Slovakia,European Parliament,MEP,No updated information available,Unknown,,,,,,,
Jan KOZ?OWSKI,Poland,EPP,PO,European Parliament,MEP,president of the Polish Rugby Association and vice-president of the European Federation of Rugby ,NGO,,,,,,,
Edvard KOŽUŠNÍK,Czech Republic,ECR,Civic Democratic Party,European Parliament,MEP,"Managing Partner at Justus Lipsius & Partners a.s., Director at eStat",Brussels-focussed lobbying,,https://www.linkedin.com/company/justus-lipsius-&-partners-a-s-,,,,,
Holger KRAHMER,Germany,ALDE,Free Democratic Party,European Parliament,MEP,Director European affairs public policy and government relations at Opel Group,Brussels-focussed lobbying,,https://corporateeurope.org/revolvingdoorwatch/cases/holger-krahmer,,,,,TI-DE
Rodi KRATSA-TSAGAROPOULOU,Greece,EPP,New Democracy,European Parliament,MEP,No updated information available,Unknown,,,,,,,
Wolfgang KREISSL-DÖRFLER,Germany,S&D,Social Democratic Party,European Parliament,MEP,Works at the Brazilian Consulate in Tirol ,Private Sector,,https://www.facebook.com/wolfgang.kreissldorfler,Can we recheck this guy?,,,he list on his FB page that he now works at the Consulate of Brazil in Tirol,Raphael 
Jacek Olgierd KURSKI,Poland,ECR,Law and Justice,European Parliament,MEP,General Director of Polish Television,Media,,,,,,,
Stavros LAMBRINIDIS,Greece,S&D,Socialist Movement,European Parliament,MEP,EU Special Representative for Human Rights at European External Action Service,Elected office & public sector,,,,,,,
Vytautas LANDSBERGIS,Lituania,EPP,Homeland Union,European Parliament,MEP,No updated information available,Unknown,,,,,,,
Claus LARSEN-JENSEN,Denmark,S&D,Socialdemokraterne,European Parliament,MEP,"SiD International Secretary, Danish trade union",Brussels-focussed lobbying,,,,,,,
Agnès LE BRUN,France,EPP,Union for a Popular Movement,European Parliament,MEP,"Maire de Morlaix, Conseillère Régionale de Bretagne, Vice-Présidente de AMF",Elected office & public sector,,,,,,,
Kurt LECHNER,Germany,EPP,Christian Democratic Union,European Parliament,MEP,Left the EP in 2012 due to age,Retired,,https://en.wikipedia.org/wiki/Kurt_Lechner,,,,,Raphael
Stéphane LE FOLL,France,S&D,Socialist Party,European Parliament,MEP,French Minister of Agriculture ,Elected office & public sector,,,,,,,
Klaus-Heiner LEHNE,Germany,EPP,Christian Democratic Union,European Parliament,MEP,President of the European Court of Auditors,Elected office & public sector,,http://www.eca.europa.eu/en/Pages/NewsItem.aspx?nid=7338,,,,,TI-DE
Corinne LEPAGE,France,ALDE,Democratic Movement,European Parliament,MEP,avocate et une femme politique française engagée dans la protection de l'environnement,lawyer,,,,,,,
Eva LICHTENBERGER,Austria,Greens-EFA,The Greens–The Green Alternative,European Parliament,MEP,No updated information available,Unknown,,,,,,,
Kartika Tamara LIOTARD,Netherlands,GUE/NGL,Socialist Party (2009–2010) / Independent,European Parliament,MEP,Senior Advisor for European Subsidies at the Dutch Ministry of Economy,Elected office & public sector,,http://www.parlement.com/id/vgr81a2x0qvk/k_t_kartika_liotard,,,,,Raphael
Krzysztof LISEK,Poland,EPP,Civic Platform,European Parliament,MEP,"EU Affairs, Foreign & Defence Policy advisor at Fipra International.",Brussels-focussed lobbying,,,,,,,
Caroline LUCAS,United Kingdom,Greens-EFA,Green Party,European Parliament,MEP,MP for Brighton Pavilion,Elected office & public sector,,,,,,,
Baroness Sarah LUDFORD,United Kingdom,ALDE,Liberal Democrats,European Parliament,MEP,"LibDem peer/Lords spokesman on Europe, member of the House of Lords",Elected office & public sector,,,,,,,
Petru Constantin LUHAN,Romania,EPP,Democratic Liberal Party,European Parliament,MEP,No updated information available,Unknown,,,,,,,
Astrid LULLING,Luxembourg,EPP,Christian Social People's Party,European Parliament,MEP,No updated information available,Unknown,,,,,,,
Elizabeth LYNNE,United Kingdom,ALDE,LibDem,European Parliament,MEP,No updated information available,Unknown,,,,,,,
George LYON,United Kingdom,ALDE,Liberal Democrats,European Parliament,MEP,Agri-business senior consultant FOR Hume Brophy ,Brussels-focussed lobbying,,https://corporateeurope.org/revolvingdoorwatch/cases/george-lyon,,,,,
Marusya LYUBCHEVA,Bulgaria,S&D,BSP,European Parliament,MEP,No updated information available,Unknown,,,,,,,
Arlene McCARTHY,United Kingdom,PASD,Labour Party,European Parliament,MEP,Deputy chair for European strategy at Sovereign Strategy,Brussels-focussed lobbying,,https://corporateeurope.org/revolvingdoorwatch/cases/arlene-mccarthy,,,,,
Edward McMILLAN-SCOTT,United Kingdom,ALDE,Liberal Democrats,European Parliament,MEP,No updated information available,Unknown,,,,,,,
Barry MADLENER,Netherlands,NI,Party for Freedom,European Parliament,MEP,Member of the House of Representatives of the Netherlands,Elected office & public sector,,,,,,,
Toine MANDERS,Netherlands,ALDE,People's Party for Freedom and Democracy (2009–2013) / Independent,European Parliament,MEP," lawyer and former director of the Hague Jurists College, an office that focused , inter alia, tax evasion and capital protection",lawyer,,,,,,,
Bogdan Kazimierz MARCINKIEWICZ,Poland,EPP,Civic Platform,European Parliament,MEP,No updated information available,Unknown,,,,,,,
Jean-Claude MARCOURT,Belgium,S&D,PS,European Parliament,MEP,Vice-Président du Gouvernement,Elected office & public sector,,,,,,,
Hans-Peter MARTIN,Austria,NI,Hans-Peter Martin's List,European Parliament,MEP,Journalist,Media,,,,,,,
Miguel Angel MARTÍNEZ MARTÍNEZ,Spain,S&D,Socialist Workers' Party,European Parliament,MEP,Deputy in the Spanish Congress,Elected office & public sector,,,,,,,
Antonio MASIP HIDALGO,Spain,S&D,Socialist Workers' Party,European Parliament,MEP,Lawyer,lawyer,,,,,,,
Clemente MASTELLA,Italy,EPP,0,European Parliament,MEP,Mayor of Benevento,Elected office & public sector,,,,,,,
Véronique MATHIEU HOUILLON,France,EPP,UMP,European Parliament,MEP,"Membre du Conseil Economique, Social et Environmental ",Elected office & public sector,,,,,,,
Iosif MATULA,Romania,EPP,Democratic Liberal Party,European Parliament,MEP,No updated information available,Unknown,,,,,,,
Mario MAURO,Italy,EPP,Pdl,European Parliament,MEP,Minister of Defence in Italy ,Elected office & public sector,,,,,,,
Kyriakos MAVRONIKOLAS,Cyprus,S&D,Movement for Social Democracy,European Parliament,MEP,No updated information available,Unknown,,,,,,,
Hans-Peter MAYER,Germany,EPP,Christian Democratic Union,European Parliament,MEP,Unkown,Unknown,,,Not working in conulting,,,,TI-DE
Jaime MAYOR OREJA,Spain,EPP,People's Party,European Parliament,MEP,presidente de la Fundación Valores y Sociedad ,NGO,,,,,,,
Zofija MAZEJ KUKOVI?,Slovenia,EPP,Democratic Party,European Parliament,MEP,No updated information available,Unknown,,,,,,,
Erminia MAZZONI,Italy,EPP,0,European Parliament,MEP,Lawyer at Studio Legale Mazzoni,lawyer,,,,,,,
Íñigo MÉNDEZ DE VIGO,Spain,EPP,People's Party,European Parliament,MEP,"Ministro de Educación, Cultura y Deporte y Diputado por Palencia",Elected office & public sector,,,,,,,
Emilio MENÉNDEZ del VALLE,Spain,S&D,Socialist Workers' Party,European Parliament,MEP,embajador de España y analista de relaciones internacionales,Elected office & public sector,,,,,,,
