ID,Name,Link_image,Country,Political_group,Party,Institution,Previous_position,New_position,category_pie,category_bar,brussel_lobbying,Link_profile,Link_source,group2,Description,Paid_unpaid,Answers,Certified,Date of Commission authorisation,Based on advice from Ad hoc Ethical Committee?,Link to authorisation in College of Commissioners' minutes,"Link to Commission authorisation documents, released under freedom of information rules. Click on the links to read the documents",Link Transparency register
28493,Derek Roland CLARK,,United Kingdom,EFDD,UK Independence Party,European Parliament,MEP,Retired,Others,Retired,no,,https://en.wikipedia.org/wiki/Derek_Clark,UKIP,Born in 1933. Most likely retired ,,,Raphael ,,,,,
94283,Trevor COLMAN,,United Kingdom,NI,UK Independence Party,European Parliament,MEP,No information available,Unknown,Unknown,Unknown,,,UKIP,,,,Raphael ,,,,,
4554,Chris DAVIES,,United Kingdom,ALDE,Liberal Democrats,European Parliament,MEP,"Set up his own firm, Chris Davies Ltd, specialised in political and environmental Consultancies. Registered on the EU Transparency Register.",Private Sector,Consultancies,yes ,,https://corporateeurope.org/revolvingdoorwatch/cases/chris-davies ,LibDem,,,,Raphael,,,,,
28336,Vera FLASAROVÁ,,Czech Republic,GUE/NGL,Communist Party of Bohemia and Moravia ,European Parliament,MEP,No information available,Unknown,Unknown,Unknown,,https://cs.wikipedia.org/wiki/V%C4%9Bra_Flasarov%C3%A1,KSČM,No further info ,,,Raphael,,,,,
4514,Andrew DUFF,,United Kingdom,ALDE,Liberal Democrats,European Parliament,MEP,Writer/Blogger. Advisory Board member of Transparency International EU. Senior Advisor at European Policy Centre.,"Non-governmental organisations, platforms and networks and similar",NGOs,yes ,,http://www.epc.eu/team.php?dept_id=7,LibDem,Need to verify classification ,,,Raphael,,,,,
1419,James ELLES,,United Kingdom,ECR,Conservative Party,European Parliament,MEP,Chairman of the management committee of the transatlantic policy network ,"Non-governmental organisations, platforms and networks and similar",NGOs,yes ,,http://www.tpnonline.org/organisation/whos-who/,,Check what James is up to. Internet Foundation is not his job.,,The TPN has been active in lobying in favour of the TTIP,Raphael,,,,,
96751,Nick GRIFFIN,,United Kingdom,NI,British National Party,European Parliament,MEP,"Set up a new party, called British Unity, after being expelled from the British National Party",Elected office & public sector,Political parties,no,,https://britishunity2020.com/who-we-are/,BNP,,,,Raphael,,,,,
28477,Fiona HALL,,United Kingdom,ALDE,Liberal Democrats,European Parliament,MEP, Senior policy advisor to its energy efficiency team. Rockwool International A/S (Hall's major Consultancies client),Private Sector,Consultancies,yes ,,https://corporateeurope.org/revolvingdoorwatch/cases/fiona-hall,LibDem,,,,Raphael,,,,,
4538,Malcolm HARBOUR,,United Kingdom,ECR,Conservative Party,European Parliament,MEP,"Director of Digital Policy Alliance.. Senior Adviser at cabinet DN, Senior Adviser at European Policy Center ",Private Sector,Business associations,yes ,,,,http://www.cabinetdn.com/our-team/malcolm-harbour/,,http://www.epc.eu/team.php?dept_id=7,Raphael,,,,,
29074,Vito BONSIGNORE,,Italy,EPP,Forza Italia,European Parliament,MEP,No information available,Unknown,Unknown,Unknown,,https://it.wikipedia.org/wiki/Franco_Bonanini,FI,Probably retired from public life. Got acquited from a prison sentence in 2015. ,,,Raphael,,,,,
4524,Caroline LUCAS,,United Kingdom,Greens/EFA,Green Party,European Parliament,MEP,MP for Brighton Pavilion,Elected office & public sector,Elected office,no,,https://www.parliament.uk/biogRaphaelies/commons/caroline-lucas/3930,,,,,Raphael,,,,,
4529,Baroness Sarah LUDFORD,,United Kingdom,ALDE,Liberal Democrats,European Parliament,MEP,"LibDem peer/Lords spokesman on Europe, member of the House of Lords",Elected office & public sector,Elected office,no,,https://www.parliament.uk/biogRaphaelies/lords/baroness-ludford/1867,LibDem,,,,Raphael,,,,,
114873,Vojtech MYNÁR,,Czech Republic,S&D,Social Democratic Party,European Parliament,MEP,No information available,Unknown,Unknown,Unknown,,,CSSD,No info,,,Raphael,,,,,
96959,George LYON,,United Kingdom,ALDE,Liberal Democrats,European Parliament,MEP,Agri-business senior consultant FOR Hume Brophy ,Private Sector,Business associations,yes ,,https://corporateeurope.org/revolvingdoorwatch/cases/george-lyon,LibDem,,,,Raphael,,,,,
2173,Arlene McCARTHY,,United Kingdom,S&D,Labour Party,European Parliament,MEP,Deputy chair for European strategy at Sovereign Strategy. Director of AMC Strategy. Registered on the EU Transparency Register.,Private Sector,Consultancies,yes ,,https://corporateeurope.org/revolvingdoorwatch/cases/arlene-mccarthy http://ec.europa.eu/transparencyregister/public/consultation/displaylobbyist.do?id=114802815648-64,,,,,Raphael,,,,,
