Nr,Name,coutry,Political_group,Party,Institution,mandate,pre_mandate_activities,category_pie,category_bar,Brussels_lobbying,Number_activities,Link_source,Link_profile,Comments,party2,Description,Paid_unpaid,Answers,Certified,Date of Commission authorisation,Based on advice from Ad hoc Ethical Committee?,"Link to Commission authorisation documents, released under freedom of information rules. Click on the links to read the documents",
28153,Britta THOMSEN,Denmark,S&D,Social Democrats,European parliament,MEP,Secreterial assistance for the social democrats,Public Sector,Political party,,,http://www.europarl.europa.eu/ep-dif/28153_21-03-2012.pdf,no,,,https://www.linkedin.com/in/brittathomsendk,,,,,Raphael,,
96683,Carl HAGLUND,Finland,ALDE,Swedish People's Party,European parliament,MEP,State secretary of the Ministry of Education,Public Sector,Elected office,,,http://www.europarl.europa.eu/ep-dif/96683_20-03-2012.pdf,yes,,,https://corporateeurope.org/revolvingdoorwatch/cases/carl-haglund,,,,https://goo.gl/4XwlLA,Raphael,https://goo.gl/RMUQ9Q,
28139,Carl SCHLYTER,Sweden,Greens/EFA,Green Party,European parliament,MEP,MEP,Public Sector,Elected office,,,http://www.europarl.europa.eu/ep-dif/rev/28139_28-02-2012_Rev2.pdf,no,,,https://www.riksdagen.se/sv/ledamoter-partier/ledamot/carl-schlyter_46eb7b79-60e3-4bcc-9077-dbd9091aa54d,,,,,Raphael,,
96810,Carlo FIDANZA,Italy,EPP,The people of freedom,European parliament,MEP,Collaborator national alliance group in Italian parliament,Public Sector,Political party,,,http://www.europarl.europa.eu/ep-dif/96810_29-05-2012.pdf,no,,,https://goo.gl/orQY6k,,,,,Raphael,,
1993,Carmen FRAGA ESTÉVEZ,Spain,EPP,People's Party,European parliament,MEP,MEP,Public Sector,Elected office,,,http://www.europarl.europa.eu/ep-dif/rev/1993_01-03-2012_Rev2.pdf,Unknown,,,https://es.wikipedia.org/wiki/Carmen_Fraga_Est%C3%A9vez,PP,,,,Raphael,,
96990,Carmen ROMERO LÓPEZ,Spain,S&D,Socialist Workers' Party,European parliament,MEP,Mayor of Vittorio Veneto City,Public Sector,Elected office,,,http://www.europarl.europa.eu/ep-dif/96990_29-03-2012.pdf,no,,,,PSOE,,,,Raphael,,
4524,Caroline LUCAS,United Kingdom,Greens/EFA,Green Party,European parliament,MEP,Director International Forum on Globalisation,NGO,NGO,,4,http://www.europarl.europa.eu/ep-dif/4524_17-06-2009.pdf,no,,,https://www.parliament.uk/biogRaphaelies/commons/caroline-lucas/3930,,,,,Raphael,,
4524,Caroline LUCAS,United Kingdom,Greens/EFA,Green Party,European parliament,MEP,Honorary Associate of the British Veterinary association,Private Sector,Business association,,,http://www.europarl.europa.eu/ep-dif/4524_17-06-2009.pdf,,,,,,,,,,,
4524,Caroline LUCAS,United Kingdom,Greens/EFA,Green Party,European parliament,MEP,Vice-President of RCPCA,NGO,NGO,,,http://www.europarl.europa.eu/ep-dif/4524_17-06-2009.pdf,,,,,,,,,,,
4524,Caroline LUCAS,United Kingdom,Greens/EFA,Green Party,European parliament,MEP,National Council Member of the Campaign for Nuclear Disarmamement,NGO,NGO,,,http://www.europarl.europa.eu/ep-dif/4524_17-06-2009.pdf,,,,,,,,,,,
97294,Catherine SOULLIE,France,EPP,Union for a Popular Movement,European parliament,MEP,Regional councillor,Public Sector,Elected office,,2,http://www.europarl.europa.eu/ep-dif/97294_11-01-2011.pdf,Unknown,,,,UMP,,,,TI-FR,,
96745,Catherine GRÈZE,France,Greens/EFA,Europe Ecology,European parliament,MEP,Trainer,Academia,Academic,,,http://www.europarl.europa.eu/ep-dif/rev/96745_01-03-2012_Rev2.pdf,Unknown,,,,,Unclear if these are jobs,,,TI-FR,,
1129,Catherine TRAUTMANN,France,S&D,Socialist Party,European parliament,MEP,MEP,Public Sector,Elected office,,,http://www.europarl.europa.eu/ep-dif/rev/1129_26-03-2012_Rev2.pdf,no,,,https://ec.europa.eu/transport/themes/infrastructure/ten-t-guidelines/european-coordinators_en,PS,,,,TI-FR,,
