name,id,voted,votes,percent,active
"Paul TANG",125020,256,285,89.82,True
"Martina WERNER",124826,256,285,89.82,True
"Pervenche BERÈS",1985,255,285,89.47,True
"Tanja FAJON",96911,255,285,89.47,True
"Patrizia TOIA",28340,254,285,89.12,True
"Esther de LANGE",38398,253,285,88.77,True
"Giulia MOI",124859,252,285,88.42,True
"Marie-Christine VERGIAT",96858,252,285,88.42,True
"Marju LAURISTIN",124698,251,285,88.07,True
"Soraya POST",124997,251,285,88.07,True
"Mady DELVAUX",124776,250,285,87.72,True
"Syed KAMALL",33569,250,285,87.72,True
"Carlos JIMÉNEZ VILLAREJO",125034,34,39,87.18,False
"Eric ANDRIEU",113892,248,285,87.02,True
"Alessandra MUSSOLINI",28429,248,285,87.02,True
"Tokia SAÏFI",4345,248,285,87.02,True
"Ruža TOMAŠIĆ",119431,248,285,87.02,True
"Derek VAUGHAN",96918,248,285,87.02,True
"Goffredo Maria BETTINI",124819,247,285,86.67,True
"Agustín DÍAZ DE MERA GARCÍA CONSUEGRA",28397,247,285,86.67,True
"Ismail ERTUG",96842,247,285,86.67,True
"Eleonora FORENZA",125193,247,285,86.67,True
"Maria HEUBUCH",124848,247,285,86.67,True
"Richard HOWITT",2073,247,285,86.67,True
"Danuta Maria HÜBNER",96779,247,285,86.67,True
"Jan KELLER",124695,247,285,86.67,True
"Roberta METSOLA",118859,247,285,86.67,True
"Paulo RANGEL",96903,247,285,86.67,True
"Liliana RODRIGUES",125099,247,285,86.67,True
"Lola SÁNCHEZ CALDENTEY",125035,247,285,86.67,True
"Bas EICKHOUT",96725,246,285,86.32,True
"Peter JAHR",96772,246,285,86.32,True
"Massimo PAOLUCCI",124849,246,285,86.32,True
"Julie WARD",124963,246,285,86.32,True
"Matt CARTHY",124986,245,285,85.96,True
"Stefan ECK",124863,245,285,85.96,True
"Nathan GILL",124965,245,285,85.96,True
"Daniel HANNAN",4555,245,285,85.96,True
"Sylvia-Yvonne KAUFMANN",1849,245,285,85.96,True
"Angelika NIEBLER",4289,245,285,85.96,True
"Gilles PARGNEAUX",96948,245,285,85.96,True
"Evelyne GEBHARDT",1913,244,285,85.61,True
"Dietmar KÖSTER",124822,244,285,85.61,True
"Andrzej DUDA",124899,243,285,85.26,True
"Rikke KARLSSON",124876,243,285,85.26,True
"Giovanni LA VIA",96816,243,285,85.26,True
"Michel REIMON",124935,243,285,85.26,True
"Marietje SCHAAKE",96945,243,285,85.26,True
"Michaela ŠOJDROVÁ",124710,243,285,85.26,True
"Mairead McGUINNESS",28115,242,285,84.91,True
"Algirdas SAUDARGAS",96696,242,285,84.91,True
"Jill SEYMOUR",124950,242,285,84.91,True
"Michèle ALLIOT-MARIE",1179,241,285,84.56,True
"Amjad BASHIR",124956,241,285,84.56,True
"Rosa ESTARÀS FERRAGUT",96811,241,285,84.56,True
"Sabine LÖSING",96854,241,285,84.56,True
"Barbara MATERA",96813,241,285,84.56,True
"Krisztina MORVAI",96661,241,285,84.56,True
"Inmaculada RODRÍGUEZ-PIÑERO FERNÁNDEZ",125043,241,285,84.56,True
"Soledad CABEZÓN RUIZ",125041,240,285,84.21,True
"Alain LAMASSOURE",1204,240,285,84.21,True
"Davor Ivo STIER",119435,240,285,84.21,True
"Martina ANDERSON",113959,239,285,83.86,True
"Deirdre CLUNE",124988,239,285,83.86,True
"Heidi HAUTALA",2054,239,285,83.86,True
